#objID,g,r,i,u
1237645941298168302,24.06654,21.90353,21.62717,24.00819
1237645941298168301,22.50728,20.36318,19.75633,24.16261
1237645941298168300,21.51366,19.54941,18.88442,24.2093
1237645941298168298,20.78613,20.30091,20.04708,22.82288
1237645941298168297,22.5846,20.96187,20.29503,24.87091
1237645941298168295,21.91179,21.2808,21.09471,22.93166
1237645941298168294,19.94844,19.44371,19.18334,20.99041
1237645941298168293,21.62144,20.43927,20.03922,22.73973
1237645941298168289,21.60523,21.17696,20.80187,23.34902
1237645941298168288,21.05261,19.59507,19.1353,22.14099
1237645941298168285,21.79435,20.03272,19.44966,25.17202
1237645941298168279,20.43544,19.49359,19.04605,21.70071
1237645941298168277,21.86928,21.1172,20.56525,24.88915
1237645941298168274,22.55569,20.98526,20.30625,23.12805
1237645941298168271,19.01131,18.14432,17.77939,20.47854
1237645941298168269,21.32292,20.75701,20.2431,22.76587
1237645941298168263,21.84396,20.98821,20.49179,22.24527
1237645941298168262,22.41457,21.57053,20.92823,25.94952
1237645941298168253,21.94402,20.87963,20.29991,22.26163
1237645941298168250,21.41707,20.40044,20.08238,22.03947
1237645941298168248,22.17001,21.2957,21.07771,22.71081
1237645941298168246,22.57262,21.80806,21.71519,23.60905
1237645941298168245,21.38636,20.21225,19.78406,21.89017
1237645941298168223,21.1774,20.34443,19.90205,21.72058
1237645941298168219,19.09819,18.73552,18.53374,20.24297
1237645941298168216,20.14613,19.35389,18.92799,21.33762
1237645941298168212,20.56969,20.05336,19.72765,21.33426
1237645941298168204,22.87887,21.75356,22.17622,23.1137
1237645941298168203,20.08414,19.59283,19.25704,21.12418
1237645941298168201,21.13639,20.65655,20.21962,22.20325
1237645941298168197,20.71709,20.25662,19.93579,21.71503
1237645941298168195,22.75006,21.49107,20.39318,24.30186
1237645941298168193,20.74516,19.77426,19.25399,22.07115
1237645941298168189,22.37858,20.90707,20.25408,23.12394
1237645941298168188,21.16627,20.70564,20.39255,23.05352
1237645941296923268,21.78104,20.7052,20.07929,22.55587
1237645941296923267,20.57645,19.93211,19.48472,21.82414
1237645941296923264,22.52678,21.83915,21.29588,23.84237
1237645941296923262,21.29831,20.56292,20.18323,23.44033
1237645941296923260,22.8318,21.49535,21.09704,23.5346
1237645941296923259,21.55718,20.82307,20.53839,22.26063
1237645941296923256,21.75636,20.98128,20.35504,24.87804
1237645941296923254,22.09423,21.22246,20.88389,24.07358
1237645941296923248,21.45199,19.78354,19.16813,23.06234
1237645941296726760,23.19397,21.92377,21.31087,24.36918
1237645941298365330,25.23401,21.95229,21.26576,24.05409
1237645941298365332,23.4567,21.64364,20.74856,25.98194
1237645941298365328,24.39532,21.78437,21.01027,25.69853
1237645941298365326,21.73038,20.70754,20.38256,23.70188
1237645941298365325,22.54525,20.75855,20.21572,21.52697
1237645941298365308,23.39954,21.76931,21.76317,24.87962
1237645941298365305,23.14376,21.24419,20.6546,24.7688
1237645941298365301,23.3258,21.87582,21.44471,23.55737
1237645941298365288,23.38842,21.4223,22.2135,24.83798
1237645941298365285,22.7094,21.55799,20.98291,22.72498
1237645941298365283,23.02584,21.67385,21.23584,23.6049
1237645941298365279,23.29404,21.83336,20.52904,25.42511
